,,,
accuracy,0.855907469462761,0.738450457866036,0.794007858546169
f1 score,0.855751406770075,0.748678250153094,0.794274670503402
precision,0.868374403431642,0.825963221776669,0.794570820238504
recall,0.855907469462761,0.738450457866036,0.794007858546169
nonzeros_pred,0.549291968435845,0.51841753266797,0.361001964636542
nonzeros_labels,0.463301264728137,0.304506636485235,0.356777996070727
nz_precision,1,1,1
nz_recall,0.937295846943537,0.921777327251225,0.717235682819383
nz_f1,0.967633155692048,0.959296703296703,0.835337502004169
nz_accuracy,0.937295846943537,0.921777327251225,0.717235682819383
